Player,Tm,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,VORP,BPM,Team Wins,Overall Seed,All-Star
Jaxson Hayes\hayesja02,NOP,70,20,9.3,4.5,0.6,0.5,0.8,0.616,0.351,0.766,5.1,0.174,0.8,0.2,36,9,0
Tyus Jones\jonesty01,MEM,73,21.2,8.7,2.4,4.4,0.9,0,0.451,0.39,0.818,5.1,0.158,1.4,1.7,56,2,0
Andre Drummond\drumman01,TOT,73,19.7,7.9,9.3,1.8,1.1,0.9,0.57,0,0.524,5.1,0.17,1.2,1.3,,,0
Andre Drummond\drumman01,PHI,49,18.4,6.1,8.8,2,1.1,0.9,0.538,0,0.512,5.1,0.17,1.2,1.3,51,4,0
Grant Williams\willigr01,BOS,77,24.4,7.8,3.6,1,0.5,0.7,0.475,0.411,0.905,5.1,0.13,0.8,-0.4,51,2,0
Montrezl Harrell\harremo01,WAS,46,24.3,14.1,6.7,2.1,0.4,0.7,0.645,0.267,0.727,5.1,0.217,1.9,4.8,35,12,0
Derrick White\whitede01,TOT,75,29.3,13.2,3.5,4.9,0.9,0.8,0.421,0.312,0.864,5.1,0.111,1.6,0.9,,,0
John Collins\collijo01,ATL,54,30.8,16.2,7.8,1.8,0.6,1,0.526,0.364,0.793,5.1,0.146,1.5,1.5,43,9,0
Andrew Wiggins\wiggian01,GSW,73,31.9,17.2,4.5,2.2,1,0.7,0.466,0.393,0.634,5.1,0.105,1.4,0.4,53,3,1
Montrezl Harrell\harremo01,TOT,71,23.1,13.1,6.1,2,0.4,0.6,0.645,0.235,0.716,5.1,0.217,1.9,4.8,,,0
Lauri Markkanen\markkla01,CLE,61,30.8,14.8,5.7,1.3,0.7,0.5,0.445,0.358,0.868,5,0.127,1.1,0.4,44,8,0
Wendell Carter Jr.\cartewe01,ORL,62,29.9,15,10.5,2.8,0.6,0.7,0.525,0.327,0.691,5,0.129,1.7,1.6,22,15,0
P.J. Tucker\tuckepj01,MIA,71,27.9,7.6,5.5,2.1,0.8,0.2,0.484,0.415,0.738,5,0.121,1.3,0.6,53,1,0
Otto Porter Jr.\porteot01,GSW,63,22.2,8.2,5.7,1.5,1.1,0.5,0.464,0.37,0.803,4.9,0.168,1.8,3.1,53,3,0
JaVale McGee\mcgeeja01,PHO,74,15.8,9.2,6.7,0.6,0.3,1.1,0.629,0.222,0.699,4.9,0.201,0.8,0.8,64,1,0
Christian Wood\woodch01,HOU,68,30.8,17.9,10.1,2.3,0.8,1,0.501,0.39,0.623,4.9,0.112,1.9,1.6,20,15,0
Keldon Johnson\johnske04,SAS,75,31.9,17,6.1,2.1,0.8,0.2,0.466,0.398,0.756,4.9,0.098,0.9,-0.5,34,10,0
Bruce Brown\brownbr01,BRK,72,24.6,9,4.8,2.1,1.1,0.7,0.506,0.404,0.758,4.8,0.13,1.2,0.7,44,7,0
Mason Plumlee\plumlma01,CHO,73,24.6,6.5,7.7,3.1,0.8,0.7,0.641,0,0.392,4.7,0.127,0.9,0,43,10,0
Shai Gilgeous-Alexander\gilgesh01,OKC,56,34.7,24.5,5,5.9,1.3,0.8,0.453,0.3,0.81,4.6,0.113,2.7,3.4,24,14,0
Herbert Jones\joneshe01,NOP,78,29.9,9.5,3.8,2.1,1.7,0.8,0.476,0.337,0.84,4.6,0.096,0.9,-0.5,36,9,0
Anthony Davis\davisan02,LAL,40,35.1,23.2,9.9,3.1,1.2,2.3,0.532,0.186,0.713,4.5,0.155,2,3.8,33,11,0
Nikola Vučević\vucevni01,CHI,73,33.1,17.6,11,3.2,1,1,0.473,0.314,0.76,4.5,0.09,1.8,0.9,46,6,0
Luke Kennard\kennalu01,LAC,70,27.4,11.9,3.3,2.1,0.6,0.1,0.449,0.449,0.896,4.5,0.113,1.2,0.5,42,8,0
Mo Bamba\bambamo01,ORL,71,25.7,10.6,8.1,1.2,0.5,1.7,0.48,0.381,0.781,4.5,0.118,1.2,0.7,22,15,0
James Harden\hardeja01,PHI,65,37.2,22,7.7,10.3,1.3,0.6,0.41,0.33,0.877,4.4,0.13,2.5,4.1,51,4,1
Josh Hart\hartjo01,NOP,41,33.5,13.4,7.8,4.1,1.1,0.3,0.505,0.323,0.753,4.4,0.117,1.4,1,36,9,0
Josh Hart\hartjo01,TOT,54,33.2,14.9,7.2,4.1,1.1,0.2,0.504,0.343,0.758,4.4,0.117,1.4,1,,,0
